Company,Nights,Room_Revenue,ARR,Revenue_Pct
AIR INDIA EXPRESS LTD,540.0,1105700.0,2047.59,14.2
ANZ SUPPORT SERVICES INDIA PRIVATE LTD,173.0,813100.0,4700.0,10.44
JOVEX PRIVATE LIMITED,288.0,783450.0,2720.31,10.06
GO-MMT,144.0,659993.14,4583.29,8.48
TRAVEL CORPORATION (INDIA) LIMITED,200.0,408963.81,2044.82,5.25
RELIANCE BP MOBILITY LIMITED,75.0,394701.65,5262.69,5.07
GENPACT INDIA PRIVATE LIMITED,106.0,382100.0,3604.72,4.91
DIRECT BOOKING,89.0,359940.81,4044.28,4.62
WEDDING GROUP,63.0,330717.14,5249.48,4.25
FAIR EXPORTS (INDIA)PVT LTD,62.0,217000.0,3500.0,2.79
AOV EXPORTS PRIVATE LIMITED,62.0,201500.0,3250.0,2.59
FLIGHT SIMULATION TECHNIQUE CENTRE PRIVA,47.0,194750.0,4143.62,2.5
BOOKING.COM,36.0,194211.62,5394.77,2.49
SIMPLOTEL,20.0,150454.83,7522.74,1.93
MYND INTEGRATED SOLUTIONS PRIVATE LIMITE,38.0,148757.14,3914.66,1.91
AGODA,35.0,146098.07,4174.23,1.88
HITACHI ENERGY INDIA LIMITED,38.0,135554.76,3567.23,1.74
AVENUE SUPERMARTS LIMITED,30.0,114023.68,3800.79,1.46
ZECO AIRCON LIMITE,28.0,98000.0,3500.0,1.26
CLEARTRIP PRIVATE LIMITED,18.0,76028.3,4223.79,0.98
CAPER TRAVEL COMPANY PVT LTD,23.0,71583.22,3112.31,0.92
WALKIN,12.0,70776.16,5898.01,0.91
DISTINCT DESTINATIONS,34.0,63952.3,1880.95,0.82
SANDVIK MINING AND ROCK TECHNOLOGY INDIA,13.0,62500.0,4807.69,0.8
EXPEDIA.COM,10.0,52589.07,5258.91,0.68
RELIANCE RITU KUMAR PVT LTD,13.0,48750.0,3750.0,0.63
INDIVIDUALS,1.0,45046.92,45046.92,0.58
SHIV TRINETRA,15.0,37500.0,2500.0,0.48
SEBIA DIAGNOSTICS INDIA PRIVATE LIMITED,11.0,31011.86,2819.26,0.4
DIGITAL ECOM TECHNO PRIVATE LIMITED,8.0,30400.0,3800.0,0.39
GANTRADE EUROPE LIMITED,8.0,28000.0,3500.0,0.36
ELGI EQUIPMENTS LIMITED,5.0,22500.0,4500.0,0.29
STEMZ HEALTHCARE PRIVATE LIMITED,5.0,22500.0,4500.0,0.29
WIZARD EVENTS & CONFERENCES,5.0,22500.0,4500.0,0.29
DIRECTOR REFERENCE VJ,0.0,22000.0,0.0,0.28
JENIXCLOUD SOFTWARE SOLUTIONS PRIVATE LI,6.0,19714.26,3285.71,0.25
EASY TRIP PLANNERS LIMITED,4.0,19630.96,4907.74,0.25
REACH PROMOTERS PVT LTD,6.0,19500.0,3250.0,0.25
WOW INDIA TRAVEL & TOURS (P) LTD,6.0,17678.54,2946.42,0.23
VISION RX LAB PRIVATE LIMITED,4.0,17400.0,4350.0,0.22
YATRA ONLINE LIMITED,4.0,15748.57,3937.14,0.2
HAMILTONGARDEN INN AND SUITES PRIVATE LT,2.0,14500.0,7250.0,0.19
BSH HOUSEHOLD APPLIANCES MANUFACTURING P,3.0,13500.0,4500.0,0.17
HOTELBEDS,2.0,12135.48,6067.74,0.16
NEWLY WEDS FOODS INDIA PRIVATE LIMITED,4.0,11800.0,2950.0,0.15
MYND SOLUTIONS PRIVATE LIMITED,3.0,11400.0,3800.0,0.15
INTEGRAL EDUCATION SOCIETY,3.0,10500.0,3500.0,0.13
AKOODE TECHNOLOGIES PRIVATE LIMITED,3.0,9785.71,3261.9,0.13
EAGLEBURGMANN INDIA PVT LTD,2.0,8904.76,4452.38,0.11
NEVCO ENGINEERS PVT LTD,2.0,8000.0,4000.0,0.1
HUMMING BIRD DIGITAL PVT LTD,2.0,8000.0,4000.0,0.1
UNITED FARM PRODUCT PRIVATE LIMITED,2.0,6250.0,3125.0,0.08
MY TRAVEL COMPANY,1.0,4500.0,4500.0,0.06
TRIPKONNECT JOURNEYS,1.0,4238.09,4238.09,0.05
AVENUE SUPERMARTS LTD - MAHARASHTRA,1.0,3785.71,3785.71,0.05
LE PASSAGE TO INDIA TOURS AND TRAVELS,1.0,2261.9,2261.9,0.03
