Segment,Nights,Room_Revenue,ARR,Contribution_Pct
Long Stay,712.0,2485009.46,3490.18,31.91602769673899
OTA,273.0,1332531.64,4881.07,17.11426753643869
Crew,540.0,1105700.0,2047.59,14.200972830213814
Corporate FIT Bookings,261.0,1000435.34,3833.09,12.849014273062965
Group Booking from travel agent,259.0,556201.69,2147.5,7.143533587599717
Corporate Group Bookings with Conference hall,87.0,421665.95,4846.74,5.4156341678360285
Free Individual Traveller,91.0,378556.24,4159.96,4.861957926153478
Social,63.0,330717.14,5249.48,4.247540128087202
Corporate Group Bookings W/O Conference hall,17.0,64850.0,3814.71,0.8328959826710373
Events,1.0,41524.76,41524.76,0.5333200583713027
Travel Agent,10.0,33999.97,3400.0,0.4366759972850545
Complimentray,3.0,22000.0,7333.33,0.2825553063803056
Packages,3.0,12894.11,4298.04,0.16560450916142558
